epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7714,2.46957,3.30405,0.3797,1.44993,0.03925,2.87322,0.99506,0.92308,0.97853,0.81121,0.975,0.84615,0.845,0.68528,0.68508,2.09492,0.275,0.36387,0.01153,0,0.000444444,0.000444444,0.000444444
2,26.1307,2.55801,3.066,0.38463,1.39383,0.03683,2.09204,0.99494,0.92308,0.97853,0.80902,0.97575,0.84615,0.845,0.69194,0.67402,2.08942,0.27392,0.36703,0.01133,0,0.00109736,0.00109736,0.00109736
3,27.4302,2.46307,2.96444,0.35678,1.75362,0.03887,2.12985,0.99494,0.92308,0.97853,0.80902,0.97575,0.84615,0.845,0.69194,0.67402,2.08942,0.27392,0.36703,0.01133,0,0.00173378,0.00173378,0.00173378
4,28.6849,2.40121,3.14688,0.43082,1.58601,0.03427,2.91855,0.99466,0.92308,0.98567,0.80015,0.97504,0.84615,0.845,0.69202,0.65933,2.07364,0.27256,0.37934,0.01109,0,0.00192575,0.00192575,0.00192575
5,30.2278,2.47297,2.85602,0.42408,1.40244,0.03989,3.44774,0.99466,0.92308,0.98567,0.80015,0.97504,0.84615,0.845,0.69202,0.65933,2.07364,0.27256,0.37934,0.01109,0,0.001901,0.001901,0.001901
6,31.5393,2.46286,2.84983,0.3583,1.25559,0.04124,2.8115,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.00187625,0.00187625,0.00187625
7,32.861,2.50796,3.39469,0.37758,1.61661,0.04094,3.65201,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.0018515,0.0018515,0.0018515
8,34.0873,2.38981,4.0729,0.42812,1.99543,0.04005,3.66319,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.00182675,0.00182675,0.00182675
9,36.0472,2.51425,2.78562,0.37751,1.58063,0.04029,1.88974,0.99571,0.92308,0.97556,0.81545,0.97904,0.84615,0.845,0.7023,0.64363,2.02883,0.26166,0.40521,0.01101,0,0.001802,0.001802,0.001802
10,37.6188,2.70384,2.60952,0.35699,1.42234,0.04714,3.50224,0.99571,0.92308,0.97556,0.81545,0.97904,0.84615,0.845,0.7023,0.64363,2.02883,0.26166,0.40521,0.01101,0,0.00177725,0.00177725,0.00177725
11,38.8808,2.49695,3.43725,0.44677,1.54871,0.04705,3.59175,0.99681,0.92308,0.98567,0.80661,0.98129,0.84615,0.845,0.70261,0.65012,1.96427,0.25348,0.42239,0.01111,0,0.0017525,0.0017525,0.0017525
12,40.156,2.5095,2.64326,0.35684,1.24472,0.03935,1.58636,0.99681,0.92308,0.98567,0.80661,0.98129,0.84615,0.845,0.70261,0.65012,1.96427,0.25348,0.42239,0.01111,0,0.00172775,0.00172775,0.00172775
13,41.6022,2.4244,2.96677,0.44558,1.5761,0.04891,4.25155,0.02477,0.07692,0.00587,0.00107,0,0,0,0,2.90499,6.94725,0.56785,6.40674,0.05807,0,0.001703,0.001703,0.001703
14,43.2291,2.89787,8.50681,0.47746,2.82403,0.05486,16.8699,0.02477,0.07692,0.00587,0.00107,0,0,0,0,2.90499,6.94725,0.56785,6.40674,0.05807,0,0.00167825,0.00167825,0.00167825
15,44.691,2.45341,7.69028,0.49747,2.61561,0.03559,14.7651,0.02477,0.07692,0.00587,0.00107,0,0,0,0,2.90499,6.94725,0.56785,6.40674,0.05807,0,0.0016535,0.0016535,0.0016535
16,46.2106,2.2123,7.47264,0.62651,2.50125,0.0317,11.6417,0.20895,0.46154,0.27195,0.0699,0.04059,0.07692,0.01241,0.00355,2.28691,6.63912,0.90869,2.67087,0.04528,0,0.00162875,0.00162875,0.00162875
17,48.2218,2.25698,7.55064,0.63942,2.12752,0.03623,11.1091,0.20895,0.46154,0.27195,0.0699,0.04059,0.07692,0.01241,0.00355,2.28691,6.63912,0.90869,2.67087,0.04528,0,0.001604,0.001604,0.001604
18,50.2682,2.00539,7.49694,0.62835,2.26536,0.02888,9.69486,0.88088,0.38462,0.55939,0.24634,0.29527,0.07692,0.07776,0.03798,1.90966,8.24058,0.74235,2.99162,0.0381,0,0.00157925,0.00157925,0.00157925
19,51.7902,1.69591,6.70832,0.60409,1.97698,0.0241,9.06489,0.88088,0.38462,0.55939,0.24634,0.29527,0.07692,0.07776,0.03798,1.90966,8.24058,0.74235,2.99162,0.0381,0,0.0015545,0.0015545,0.0015545
20,53.5124,1.74596,7.09607,0.55286,1.97076,0.02307,9.44032,0.53092,0.46154,0.57881,0.24131,0.81834,0.15385,0.167,0.03672,1.83158,7.1451,0.73678,3.71896,0.03598,0,0.00152975,0.00152975,0.00152975
